DispNum3,DispNum4,StDay,StMon,StYear,EndDay,EndMon,EndYear,Outcome,Settle,Fatality,FatalPre,MaxDur,MinDur,HiAct,HostLev,Recip,NumA,NumB,Link1,Link2,Link3,Ongo2010,Version
4,-9,15,5,1946,13,11,1946,5,3,2,-9,183,183,16,4,1,1,1,0,0,0,0,4.01
7,-9,13,10,1951,26,1,1952,1,3,2,-9,106,106,17,4,1,1,1,0,0,0,0,4.01
26,-9,21,3,1948,25,7,1949,5,3,0,0,492,492,16,4,1,1,3,0,0,0,0,4.01
27,-9,25,7,1961,28,10,1961,5,3,0,0,96,96,17,4,1,4,4,0,0,0,0,4.01
28,-9,19,7,1961,5,9,1961,6,1,3,-9,49,49,17,4,1,1,1,0,0,0,0,4.01
50,-9,11,2,1953,19,1,1956,5,3,2,-9,1073,1073,17,4,1,3,2,0,0,0,0,4.01
51,-9,24,6,1950,27,7,1953,5,1,6,-9,1130,1130,20,5,1,2,15,0,0,0,0,4.01
53,-9,22,8,1956,23,8,1956,5,3,0,0,2,2,16,4,1,1,1,0,0,0,0,4.01
61,-9,28,1,1962,12,12,1962,4,1,0,0,319,319,16,4,1,1,2,0,0,0,0,4.01
92,-9,18,2,1964,29,2,1964,1,2,2,-9,12,12,17,4,1,1,1,0,0,0,0,4.01
122,-9,25,6,1961,28,2,1962,5,3,0,0,249,249,16,4,1,1,8,0,0,0,0,4.01
125,-9,14,5,1958,24,10,1958,8,4,0,0,164,164,8,3,1,2,3,0,0,0,0,4.01
148,-9,22,4,1959,1,8,1960,5,3,1,-9,468,468,17,4,1,1,1,0,0,0,0,4.01
172,-9,7,1,1962,19,12,1962,5,3,-9,-9,347,347,16,4,1,1,2,0,0,0,0,4.01
173,-9,22,7,1958,19,12,1958,5,3,-9,-9,151,151,17,4,1,2,2,0,0,0,0,4.01
185,-9,17,10,1956,21,10,1956,2,1,0,0,5,5,16,4,1,1,1,0,0,0,0,4.01
199,-9,2,11,1961,21,11,1962,2,2,6,-9,385,385,20,5,1,1,1,0,0,0,0,4.01
200,-9,1,9,1955,6,11,1956,2,2,6,-9,433,433,20,5,1,2,4,0,0,0,0,4.01
203,-9,23,6,1959,31,10,1961,5,3,-9,-9,862,862,17,4,1,1,1,0,0,0,0,4.01
208,-9,10,3,1953,31,3,1953,5,3,1,-9,22,22,16,4,1,2,2,0,0,0,0,4.01
246,-9,22,4,1960,26,4,1961,5,3,0,0,370,370,16,4,1,2,1,0,0,0,0,4.01
251,-9,9,4,1965,9,4,1965,5,3,-9,-9,1,1,17,4,1,1,1,0,0,0,0,4.01
253,-9,1,5,1960,18,7,1960,7,1,0,0,79,79,16,4,1,5,1,0,0,0,0,4.01
259,-9,3,6,1956,6,9,1958,1,3,-9,-9,826,826,17,4,1,1,1,0,0,0,0,4.01
266,-9,8,2,1958,17,6,1958,6,1,0,0,130,130,16,4,1,1,1,0,0,0,0,4.01
343,-9,2,10,1966,7,6,1968,5,3,1,-9,615,615,17,4,1,1,1,0,0,0,0,4.01
345,-9,23,5,1967,19,6,1967,5,3,0,0,28,28,7,3,1,1,2,0,0,0,0,4.01
346,-9,23,4,1968,12,11,1968,1,2,0,0,204,204,14,4,0,5,1,0,0,0,0,4.01
347,-9,23,1,1968,22,12,1968,7,3,0,0,335,335,15,4,1,1,1,0,0,0,0,4.01
349,-9,2,3,1969,13,12,1969,5,3,3,-9,287,287,17,4,1,1,1,0,0,0,0,4.01
350,-9,14,2,1969,17,5,1969,7,3,0,0,93,93,15,4,0,1,1,0,0,0,0,4.01
352,-9,1,1,1969,7,11,1969,5,3,-9,-9,311,311,17,4,1,1,1,0,0,0,0,4.01
353,-9,6,10,1973,31,10,1973,5,1,0,0,26,26,8,3,1,2,3,0,0,0,0,4.01
354,-9,1,9,1972,8,11,1973,1,1,1,-9,434,434,16,4,1,1,1,0,0,0,0,4.01
355,-9,15,1,1974,20,1,1974,2,2,-9,-9,6,6,17,4,1,1,1,0,0,0,0,4.01
356,-9,12,5,1975,15,5,1975,7,2,-9,-9,4,4,16,4,1,1,1,0,0,0,0,4.01
358,-9,20,10,1975,20,10,1975,5,3,1,-9,1,1,17,4,1,1,1,0,0,0,0,4.01
360,-9,-9,10,1975,29,11,1975,6,1,0,0,60,30,7,3,1,1,1,0,0,0,0,4.01
361,-9,3,2,1976,3,2,1976,5,3,1,-9,1,1,17,4,1,1,1,0,0,0,0,4.01
362,-9,19,6,1976,31,8,1976,5,3,1,-9,74,74,17,4,1,1,2,0,0,0,0,4.01
363,-9,4,2,1976,11,2,1976,5,3,0,0,8,8,16,4,0,1,1,0,0,0,0,4.01
364,-9,14,3,1974,14,9,1974,7,3,0,0,185,185,15,4,0,1,1,0,0,0,0,4.01
365,-9,6,9,1976,-9,11,1976,5,3,0,0,86,57,7,3,1,1,1,0,0,0,0,4.01
601,-9,20,1,1972,20,1,1972,7,3,0,0,1,1,15,4,0,1,1,0,0,0,0,4.01
602,-9,12,11,1972,22,11,1972,7,1,0,0,11,11,15,4,0,1,1,0,0,0,0,4.01
603,-9,2,8,1946,3,8,1946,5,3,0,0,2,2,7,3,1,1,2,0,0,0,0,4.01
604,-9,-9,7,1949,9,9,1949,1,2,-9,-9,71,41,16,4,1,1,1,0,0,0,0,4.01
605,-9,30,7,1956,12,12,1956,6,1,-9,-9,136,136,17,4,1,1,1,0,0,0,0,4.01
606,-9,20,10,1956,14,11,1956,1,2,6,-9,26,26,20,5,1,1,1,0,0,0,0,4.01
607,-9,13,4,1957,19,11,1957,5,3,2,-9,221,221,17,4,1,3,4,0,0,0,0,4.01
608,-9,7,11,1958,23,6,1959,5,3,0,0,229,229,15,4,1,1,3,0,0,0,0,4.01
610,-9,22,10,1962,30,6,1965,5,3,-9,-9,983,983,16,4,1,1,1,0,0,0,0,4.01
611,-9,23,2,1964,30,4,1975,2,2,6,-9,4085,4085,20,5,1,8,3,0,0,0,0,4.01
619,-9,15,11,1975,1,6,1976,1,1,0,0,200,200,16,4,1,1,1,0,0,0,0,4.01
623,-9,-9,7,1965,28,11,1966,5,3,3,-9,516,486,16,4,1,1,1,0,0,0,0,4.01
624,-9,-9,4,1963,-9,4,1963,5,3,0,0,30,1,8,3,1,1,1,0,0,0,0,4.01
633,-9,1,10,1949,7,8,1950,5,3,1,-9,311,311,16,4,1,2,1,0,0,0,0,4.01
634,-9,1,10,1949,24,1,1950,7,3,0,0,116,116,15,4,0,1,1,0,0,0,0,4.01
1002,-9,26,4,1963,3,6,1963,5,3,0,0,39,39,16,4,1,1,4,0,0,0,0,4.01
1006,-9,20,4,1950,4,8,1955,5,1,3,-9,1933,1933,17,4,1,1,1,0,0,0,0,4.01
1008,-9,17,10,1955,26,10,1956,5,3,3,-9,376,376,17,4,1,1,2,0,0,0,0,4.01
1013,-9,12,1,1957,7,11,1957,5,3,0,0,300,300,16,4,0,1,1,0,0,0,0,4.01
1017,-9,28,10,1965,28,10,1965,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,4.01
1018,-9,14,6,1962,4,7,1962,5,3,1,-9,21,21,17,4,1,1,1,0,0,0,0,4.01
1019,-9,25,8,1963,29,10,1963,5,3,1,-9,66,66,17,4,1,1,1,0,0,0,0,4.01
1020,-9,24,1,1964,5,9,1965,5,3,1,-9,591,591,17,4,1,1,1,0,0,0,0,4.01
1021,-9,15,4,1960,15,8,1962,4,1,2,-9,853,853,16,4,1,1,1,0,0,0,0,4.01
1022,-9,18,12,1961,17,8,1962,1,1,-9,-9,243,243,17,4,1,1,1,0,0,0,0,4.01
1023,-9,16,8,1951,14,12,1951,5,3,0,0,121,121,15,4,0,1,1,0,0,0,0,4.01
1024,-9,7,11,1957,27,2,1959,5,3,0,0,478,478,15,4,1,1,1,0,0,0,0,4.01
1035,-9,16,12,1966,10,6,1967,2,2,6,-9,177,177,20,5,1,6,1,0,0,0,0,4.01
1039,-9,11,6,1970,26,9,1970,5,3,3,-9,108,108,17,4,1,3,4,0,0,0,0,4.01
1042,-9,-9,6,1948,-9,6,1948,8,4,-9,-9,30,1,17,4,1,1,1,0,0,0,0,4.01
1043,-9,21,2,1973,21,2,1973,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,4.01
1046,-9,18,10,1971,24,10,1973,5,1,6,-9,738,738,20,5,1,5,1,0,0,0,0,4.01
1051,-9,12,5,1968,15,6,1968,5,3,-9,-9,35,35,16,4,1,1,1,0,0,0,0,4.01
1061,-9,12,4,1974,5,12,1975,5,3,-9,-9,603,603,17,4,1,1,2,0,0,0,0,4.01
1062,-9,28,8,1953,20,12,1953,5,3,0,0,115,115,7,3,1,1,1,0,0,0,0,4.01
1067,-9,15,7,1967,7,8,1970,5,3,3,-9,1120,1120,17,4,1,1,1,0,0,0,0,4.01
1068,-9,15,8,1970,14,10,1970,7,3,0,0,61,61,15,4,0,1,1,0,0,0,0,4.01
1069,-9,23,7,1968,1,9,1968,7,1,0,0,41,41,15,4,0,1,1,0,0,0,0,4.01
1070,-9,11,2,1963,14,11,1965,5,3,4,-9,1008,1008,17,4,1,1,3,0,0,0,0,4.01
1072,-9,4,4,1968,13,12,1968,5,3,-9,-9,254,254,8,3,1,1,1,0,0,0,0,4.01
1073,-9,7,8,1954,8,6,1955,5,3,0,0,306,306,8,3,1,1,1,0,0,0,0,4.01
1074,-9,17,8,1961,19,12,1961,2,2,2,-9,125,125,17,4,1,1,1,0,0,0,0,4.01
1077,-9,22,9,1947,10,11,1947,1,2,0,0,50,50,7,3,1,1,1,0,0,0,0,4.01
1079,-9,13,3,1951,14,8,1951,5,3,1,-9,155,155,17,4,1,1,1,0,0,0,0,4.01
1081,-9,20,7,1971,13,8,1971,5,3,-9,-9,25,25,17,4,1,1,1,0,0,0,0,4.01
1083,-9,2,7,1962,19,10,1962,5,3,3,-9,110,110,17,4,1,1,1,0,0,0,0,4.01
1084,-9,30,9,1963,4,11,1963,5,3,3,-9,36,36,17,4,1,1,1,0,0,0,0,4.01
1091,-9,1,2,1958,25,2,1958,5,3,0,0,25,25,15,4,1,1,1,0,0,0,0,4.01
1097,-9,-9,7,1952,-9,9,1952,3,3,0,0,92,33,14,4,0,1,1,0,0,0,0,4.01
1098,-9,4,8,1955,-9,9,1955,3,3,0,0,58,29,14,4,0,1,1,0,0,0,0,4.01
1099,-9,-9,4,1958,19,8,1958,5,3,0,0,141,112,16,4,1,1,1,0,0,0,0,4.01
1100,-9,16,8,1959,29,9,1959,5,3,0,0,45,45,7,3,0,1,1,0,0,0,0,4.01
1101,-9,24,3,1960,24,3,1960,5,3,0,0,1,1,12,3,0,1,1,0,0,0,0,4.01
1102,-9,17,9,1963,17,9,1963,5,1,0,0,1,1,7,3,0,1,1,0,0,0,0,4.01
1104,-9,6,5,1972,25,5,1972,5,3,-9,-9,20,20,16,4,1,1,1,0,0,0,0,4.01
1105,-9,18,11,1973,18,11,1973,5,3,-9,-9,1,1,16,4,0,1,1,0,0,0,0,4.01
1106,-9,-9,11,1975,11,3,1976,3,1,-9,-9,132,103,17,4,1,1,1,0,0,0,0,4.01
