DispNum3,DispNum4,StAbb,ccode,StDay,StMon,StYear,EndDay,EndMon,EndYear,SideA,RevState,RevType1,RevType2,Fatality,FataPre,HiAct,HostLev,Orig,Version
4,-9,ALB,339,15,5,1946,13,11,1946,1,0,0,-9,0,0,16,4,1,4.01
4,-9,UKG,200,15,5,1946,13,11,1946,0,0,0,-9,2,-9,7,3,1,4.01
7,-9,UKG,200,13,10,1951,26,1,1952,1,0,0,-9,1,-9,17,4,1,4.01
7,-9,EGY,651,13,10,1951,26,1,1952,0,1,2,-9,2,-9,17,4,1,4.01
26,-9,USA,2,21,3,1948,25,7,1949,0,0,0,-9,0,0,13,4,1,4.01
26,-9,UKG,200,21,3,1948,25,7,1949,0,0,0,-9,0,0,13,4,1,4.01
26,-9,FRN,220,21,3,1948,25,7,1949,0,0,0,-9,0,0,13,4,1,4.01
26,-9,USR,365,21,3,1948,25,7,1949,1,1,1,-9,0,0,16,4,1,4.01
27,-9,CZE,315,18,10,1961,28,10,1961,0,0,0,-9,0,0,7,3,0,4.01
27,-9,POL,290,18,10,1961,28,10,1961,0,0,0,-9,0,0,7,3,0,4.01
27,-9,UKG,200,13,8,1961,28,10,1961,1,0,0,-9,0,0,7,3,0,4.01
27,-9,FRN,220,13,8,1961,28,10,1961,1,0,0,-9,0,0,7,3,0,4.01
27,-9,USA,2,25,7,1961,28,10,1961,1,0,0,-9,0,0,10,3,1,4.01
27,-9,GDR,265,13,8,1961,28,10,1961,0,1,2,-9,0,0,13,4,0,4.01
27,-9,USR,365,25,7,1961,28,10,1961,0,1,2,-9,0,0,13,4,1,4.01
27,-9,GFR,260,13,8,1961,28,10,1961,1,0,0,-9,0,0,17,4,0,4.01
28,-9,FRN,220,19,7,1961,5,9,1961,0,0,0,-9,1,-9,17,4,1,4.01
28,-9,TUN,616,19,7,1961,5,9,1961,1,1,2,-9,3,-9,13,4,1,4.01
50,-9,ROK,732,13,2,1953,13,2,1953,1,1,1,-9,0,0,1,2,0,4.01
50,-9,USA,2,11,2,1953,19,1,1956,1,1,1,-9,0,0,7,3,1,4.01
50,-9,CHN,710,11,2,1953,19,1,1956,0,1,1,-9,2,-9,17,4,1,4.01
50,-9,TAW,713,11,2,1953,19,1,1956,1,1,1,-9,2,-9,17,4,1,4.01
50,-9,USR,365,4,8,1954,8,8,1954,0,1,1,-9,0,0,7,3,0,4.01
51,-9,NEW,920,29,6,1950,27,7,1953,0,0,0,-9,0,0,20,5,0,4.01
51,-9,PHI,840,16,9,1950,27,7,1953,0,0,0,-9,2,-9,20,5,0,4.01
51,-9,CAN,20,29,6,1950,27,7,1953,0,0,0,-9,4,-9,20,5,0,4.01
51,-9,AUL,900,1,7,1950,27,7,1953,0,0,0,-9,4,-9,20,5,0,4.01
51,-9,TUR,640,18,10,1950,27,7,1953,0,0,0,-9,5,-9,20,5,0,4.01
51,-9,UKG,200,28,6,1950,27,7,1953,0,0,0,-9,5,-9,20,5,0,4.01
51,-9,CHN,710,30,9,1950,27,7,1953,1,0,0,-9,6,-9,20,5,0,4.01
51,-9,ROK,732,24,6,1950,27,7,1953,0,1,1,-9,6,-9,20,5,1,4.01
51,-9,USA,2,27,6,1950,27,7,1953,0,0,0,-9,6,-9,20,5,0,4.01
51,-9,PRK,731,24,6,1950,27,7,1953,1,1,1,-9,6,-9,20,5,1,4.01
51,-9,NTH,210,20,1,1951,27,7,1953,0,0,0,-9,3,-9,20,5,0,4.01
51,-9,GRC,350,20,1,1951,27,7,1953,0,0,0,-9,3,-9,20,5,0,4.01
51,-9,BEL,211,20,1,1951,27,7,1953,0,0,0,-9,3,-9,20,5,0,4.01
51,-9,COL,100,6,6,1951,27,7,1953,0,0,0,-9,3,-9,20,5,0,4.01
51,-9,THI,800,20,1,1951,27,7,1953,0,0,0,-9,3,-9,20,5,0,4.01
51,-9,ETH,530,1,5,1951,27,7,1953,0,0,0,-9,3,-9,20,5,0,4.01
51,-9,FRN,220,1,1,1951,27,7,1953,0,0,0,-9,4,-9,20,5,0,4.01
53,-9,USA,2,22,8,1956,23,8,1956,0,0,0,-9,0,0,7,3,1,4.01
53,-9,CHN,710,22,8,1956,23,8,1956,1,0,0,-9,0,0,16,4,1,4.01
