dispnum,incidnum,year,month,day,mid21location,midlocmeasuringpoint,latitude,longitude,precision,onset,war,war_name
4,4001,1946,5,15,Corfu Channel,"Kerkira, GRC",39.62,19.91972,4,1,0,
7,7001,1951,10,13,Suez canal zone,"Suez canal, UAR",29.91667,32.55,4,1,0,
26,26001,1948,3,21,.,berlin,52.52,13.38,1,1,0,
27,27001,1961,7,25,.,berlin,52.52,13.38,1,1,0,
28,28001,1961,7,19,"Bizerte,Tunisia","Bizerte, Tunisia",37.27444,9.873889,1,1,0,
50,50001,1953,2,11,.,taiwan straits,24.61,119.9,5,1,0,
51,51001,1950,6,24,.,"kaesong, s korea",37.96,126.57,1,1,1,Korean War
53,53001,1956,8,22,Taiwan Straits,Taiwan Straits,24,119,5,1,0,
61,61001,1962,1,28,.,waters off of cuba,22.74,-75.58,4,1,0,
92,92001,1964,2,18,Libreville,"Libreville, Gabon",0.3833333,9.45,1,1,0,
122,122001,1961,6,25,.,md point of IRQ-KUW border,29.7,47.24,4,1,0,
125,125001,1958,5,14,.,suez canal,29.95,32.51,2,1,0,
148,148001,1959,4,22,Nepal/China Border,"zhabdun, china",29.65,84.16666,4,1,0,
172,172001,1962,1,7,.,taiwan straits,24.61,119.9,5,1,0,
173,173001,1958,7,22,.,taiwan straits,24.61,119.9,5,1,0,
185,185001,1956,10,17,Poland,Warsaw,52.25,21,5,1,0,
199,199001,1961,11,2,NEFA,"Nefa, India",28,94.5,3,1,1,Assam War
200,200001,1955,9,1,.,md point of ISR-EGY border,30.37,34.7,4,1,1,Sinai War
203,203001,1959,6,23,NEFA(Longju),"Longju, India",28.63333,93.55,3,1,0,
208,208001,1953,3,10,.,md point of w ger-cze border,49.36,13.21,4,1,0,
246,246001,1960,4,22,.,cuba,21.8,-78.7,5,1,0,
251,251001,1965,4,9,Taiwan Straits,Taiwan Straits,24,119,5,1,0,
253,253001,1960,5,1,.,USR border close to PAK,36.996,72.64,4,1,0,
259,259001,1956,6,3,Border of Yemen/Aden Protectorate,Aden directorate,12.8,45.03333,4,1,0,
266,266001,1958,2,8,Tunisia-Algeria border,"Tebessa, Algeria",35.40417,8.124166,4,1,0,
343,343001,1966,10,2,Amur and Ussuri Rivers,"Amur River, Russia",52.93333,141.1667,4,1,0,
345,345001,1967,5,23,.,.,-9999,-9999,7,1,0,
346,346001,1968,4,23,.,md point of USR-CZE border,48.78,22.56,4,1,0,
347,347001,1968,1,23,Sea of Japan,Japan Sea,43.5,135.75,5,1,0,
349,349001,1969,3,2,Amur and Ussuri Rivers,"Amur River, Russia",52.93333,141.1667,4,1,0,
350,350001,1969,2,14,Peruvian coastal waters,Lima,-12.05,-77.05,4,1,0,
352,352001,1969,1,1,Burma,"Rangoon, Burma",16.78333,96.16666,5,1,0,
353,353001,1973,10,6,.,.,-9999,-9999,7,1,0,
354,354001,1972,9,1,North Sea-off of Iceland,"Hvalnes, Iceland",64.4,-14.55,4,1,0,
355,355001,1974,1,15,Paracel Island,Paracel Islands,16.5,112.25,3,1,0,
356,356001,1975,5,12,Waters off Cambodia,Chhung O,12.6,106.5167,4,1,0,
